,Vendedor,Doc,Fecha,Nombres,Unidades,Unitario Venta,Ventas,Costo Unitario,Costo Total,Margen,PorMargen,Codigo,Descripcion
334,,FV R 11519,17/02/2020,JULIO MARIO JIMENEZ AYOLA,1.0,9243.69,9243.69,0.0,0.0,9243.69,1.0,T000123,CAMBIO DE ACEITE
335,,FV R 11523,20/02/2020,REDONDO CHAMORRO WENDY JOHANA,1.0,30714.29,30714.29,25718.0,25718.0,4996.29,0.16,10015388,BAJ KIT CUNAS DIRECCION
336,,FV R 11521,20/02/2020,STEVINSON CORREA GOMEZ,1.0,90756.3,90756.3,56409.13,56409.13,34347.18,0.38,10015448,KIT DISCOS CLUTCH
337,,FV R 11523,20/02/2020,REDONDO CHAMORRO WENDY JOHANA,2.0,8571.43,17142.86,10851.0,21702.0,-4559.14,-0.27,10042033,BUJIA RG6HCC
338,,FV R 11521,20/02/2020,STEVINSON CORREA GOMEZ,5.0,8235.29,41176.47,5056.6,25282.99,15893.48,0.39,10045319,DISCO SEPARADOR CLUTCH
339,,FV R 11523,20/02/2020,REDONDO CHAMORRO WENDY JOHANA,1.0,9642.86,9642.86,8003.93,8003.93,1638.93,0.17,10045339,FILTRO ACEITE
340,,FV R 11521,20/02/2020,STEVINSON CORREA GOMEZ,1.0,437815.13,437815.13,314929.0,314929.0,122886.13,0.28,10045538,RIN DELANTERO 25X17
341,,FV R 11523,20/02/2020,REDONDO CHAMORRO WENDY JOHANA,1.0,14642.86,14642.86,12387.0,12387.0,2255.86,0.15,10045630,BAJ FILTRO GASOLINA
342,,FV R 11521,20/02/2020,STEVINSON CORREA GOMEZ,1.0,24789.92,24789.92,17435.0,17435.0,7354.92,0.3,10045638,BAJ CUBIERTA FAROLA
343,,FV R 11521,20/02/2020,STEVINSON CORREA GOMEZ,1.0,10504.2,10504.2,8617.0,8617.0,1887.2,0.18,10045653,BAJ ENFOCADOR IZQUIERDO
344,,FV R 11521,20/02/2020,STEVINSON CORREA GOMEZ,1.0,19327.73,19327.73,13492.0,13492.0,5835.73,0.3,10045654,BAJ ENFOCADOR DERECHO SIN PINTAR
345,,FV R 11521,20/02/2020,STEVINSON CORREA GOMEZ,1.0,22689.08,22689.08,15474.0,15474.0,7215.08,0.32,10045695,DEFENSA DELANTERA IZQUIERDA
346,,FV R 11523,20/02/2020,REDONDO CHAMORRO WENDY JOHANA,1.0,21785.71,21785.71,16139.78,16139.78,5645.93,0.26,10045719,BUJIA CHAMPION RER6YC
347,,FV R 11523,20/02/2020,REDONDO CHAMORRO WENDY JOHANA,1.0,30714.29,30714.29,26750.94,26750.94,3963.35,0.13,10045807,FILTRO AIRE
348,,FV R 11522,20/02/2020,DE LA CRUZ SUAREZ OVAINER SHEINER,1.0,48739.5,48739.5,34738.0,34738.0,14001.5,0.29,11034067,BATERIA MT5L-B-BS-MEGA 12V 5AH
349,,FV R 11520,20/02/2020,REALES RODRIGUEZ LEONARDO JOSE,1.0,17000.0,17000.0,14445.9,14445.9,2554.1,0.15,21000361,MOBIL SUPER ULTRA 4T 20W50 1/4
350,,FV R 11523,20/02/2020,REDONDO CHAMORRO WENDY JOHANA,1.0,17000.0,17000.0,14445.9,14445.9,2554.1,0.15,21000361,MOBIL SUPER ULTRA 4T 20W50 1/4
351,,FV R 11523,20/02/2020,REDONDO CHAMORRO WENDY JOHANA,1.0,7983.19,7983.19,7325.0,7325.0,658.19,0.08,21000364,CAJA X  24 PINTA M_SUP ULTRA 20W50
352,,FV R 11520,20/02/2020,REALES RODRIGUEZ LEONARDO JOSE,1.0,9243.0,9243.0,0.0,0.0,9243.0,1.0,T000123,CAMBIO DE ACEITE
